	filename_assembly	assembly_name	refseq_assembly_accession	spanned_gaps	unspanned_gaps	scaffold_count	scaffold_N50	contig_count	contig_N50	total_gap_length	gc_perc
18	GCF_000247815.1_FicAlb1.5_assembly_stats.txt	"FicAlb1.5
"	"GCF_000247815.1
"	"9007
"	"408
"	"21836
"	"6542656
"	"30843
"	"410964
"	"16017717
"	"44
"
19	GCF_000263155.2_Setaria_italica_v2.0_assembly_stats.txt	"Setaria_italica_v2.0
"	"GCF_000263155.2
"	"6442
"	"0
"	"337
"	"47252588
"	"6779
"	"126273
"	"4823979
"	"46
"
20	GCF_000309985.2_CAAS_Brap_v3.01_assembly_stats.txt	"CAAS_Brap_v3.01
"	"GCF_000309985.2
"	"408
"	"0
"	"1100
"	"28928902
"	"1508
"	"1386548
"	"2139352
"	"37
"
21	GCF_000317375.1_MicOch1.0_assembly_stats.txt	"MicOch1.0
"	"GCF_000317375.1
"	"180562
"	"115
"	"6450
"	"17270019
"	"187012
"	"21250
"	"183019268
"	"42.5
"
22	GCF_000331145.1_ASM33114v1_assembly_stats.txt	"ASM33114v1
"	"GCF_000331145.1
"	"31479
"	"418
"	"7545
"	"697963
"	"39024
"	"34102
"	"48145013
"	"31
"
23	GCF_000340665.2_C.cajan_V1.1_assembly_stats.txt	"C.cajan_V1.1
"	"GCF_000340665.2
"	"36323
"	"0
"	"31511
"	"556997
"	"67834
"	"22576
"	"34424323
"	"33
"
24	GCF_000346465.2_Prunus_persica_NCBIv2_assembly_stats.txt	"Prunus_persica_NCBIv2
"	"GCF_000346465.2
"	"2339
"	"0
"	"192
"	"27368013
"	"2531
"	"255210
"	"2772453
"	"37.5
"
25	GCF_000346735.1_P.mume_V1.0_assembly_stats.txt	"P.mume_V1.0
"	"GCF_000346735.1
"	"15135
"	"462
"	"8626
"	"636887
"	"23761
"	"32274
"	"16851380
"	"37.5
"
26	GCF_000442705.1_EG5_assembly_stats.txt	"EG5
"	"GCF_000442705.1
"	"162119
"	"288
"	"40349
"	"1045414
"	"202468
"	"9367
"	"478070992
"	"37
"
27	GCF_000499845.2_P._vulgaris_v2.0_assembly_stats.txt	"P.vulgarisv2.0
"	"GCF_000499845.2
"	"0
"	"566
"	"1034
"	"1885876
"	"1034
"	"1885876
"	"5660000
"	"35.5
"
28	GCF_000512975.1_S_indicum_v1.0_assembly_stats.txt	"S_indicum_v1.0
"	"GCF_000512975.1
"	"9807
"	"133
"	"16369
"	"2060396
"	"26176
"	"52214
"	"4572828
"	"35
"
29	GCF_000523025.1_Cse_v1.0_assembly_stats.txt	"Cse_v1.0
"	"GCF_000523025.1
"	"31731
"	"1538
"	"31181
"	"509861
"	"62912
"	"27008
"	"24157720
"	"41
"
30	GCF_000633615.1_Guppy_female_1.0_MT_assembly_stats.txt	"Guppy_female_1.0+MT
"	"GCF_000633615.1
"	"37115
"	"261
"	"3029
"	"5270359
"	"40144
"	"41908
"	"66983708
"	"39.5
"
31	GCF_000633955.1_Cs_assembly_stats.txt	"Cs
"	"GCF_000633955.1
"	"35036
"	"0
"	"37212
"	"30099736
"	"72248
"	"32728
"	"45010014
"	"36.5
"
32	GCF_000695525.1_BOL_assembly_stats.txt	"BOL
"	"GCF_000695525.1
"	"51070
"	"0
"	"32886
"	"48366697
"	"83956
"	"21938
"	"42999729
"	"36
"
33	GCF_000738735.6_ASM73873v6_assembly_stats.txt	"ASM73873v6
"	"GCF_000738735.6
"	"425
"	"0
"	"47
"	"73732264
"	"472
"	"8553235
"	"3256893
"	"42
"
34	GCF_000741045.1_Vradiata_ver6_assembly_stats.txt	"Vradiata_ver6
"	"GCF_000741045.1
"	"21002
"	"0
"	"2499
"	"25360630
"	"23501
"	"48880
"	"33470484
"	"33
"
35	GCF_000801105.2_ASM80110v3_assembly_stats.txt	"ASM80110v3
"	"GCF_000801105.2
"	"2698
"	"0
"	"6424
"	"37282294
"	"9122
"	"184364
"	"269710
"	"36
"
36	GCF_000816755.2_Araip1.1_assembly_stats.txt	"Araip1.1
"	"GCF_000816755.2
"	"111024
"	"449
"	"997
"	"6169993
"	"112021
"	"24488
"	"96429990
"	"37
"
37	GCF_000817695.3_aradu.V14167.gnm2.J7QH_assembly_stats.txt	"aradu.V14167.gnm2.J7QH
"	"GCF_000817695.3
"	"130691
"	"8
"	"1589
"	"108052799
"	"132280
"	"24729
"	"130015313
"	"36
"
38	GCF_000972845.2_L_crocea_2.0_assembly_stats.txt	"L_crocea_2.0
"	"GCF_000972845.2
"	"6981
"	"0
"	"9998
"	"27037660
"	"16979
"	"277487
"	"2165353
"	"41.5
"
39	GCF_001406875.1_SPENNV200_assembly_stats.txt	"SPENNV200
"	"GCF_001406875.1
"	"30741
"	"0
"	"12
"	"77991103
"	"30753
"	"60083
"	"71062789
"	"34.5
"
40	GCF_001411555.2_Walnut_2.0_assembly_stats.txt	"Walnut2.0
"	"GCF_001411555.2
"	"1051
"	"0
"	"24757
"	"37114715
"	"25808
"	"1072962
"	"603869
"	"36
"
41	GCF_001444195.1_X_couchianus-1.0_assembly_stats.txt	"X_couchianus-1.0
"	"GCF_001444195.1
"	"229
"	"0
"	"68
"	"30550352
"	"297
"	"15315838
"	"1031462
"	"39
"
42	GCF_001522545.3_Parus_major1.1_assembly_stats.txt	"Parus_major1.1
"	"GCF_001522545.3
"	"22369
"	"0
"	"1675
"	"71365269
"	"24044
"	"148693
"	"17999934
"	"41.5
"
43	GCF_001531365.2_CcrdV1.1_assembly_stats.txt	"CcrdV1.1
"	"GCF_001531365.2
"	"59824
"	"5305
"	"13479
"	"126020
"	"73303
"	"19407
"	"70492307
"	"35.5
"
44	GCF_001540865.1_ASM154086v1_assembly_stats.txt	"ASM154086v1
"	"GCF_001540865.1
"	"6262
"	"0
"	"3129
"	"11759267
"	"9391
"	"114399
"	"6781819
"	"38.5
"
45	GCF_001577835.2_Coturnix_japonica_2.1_assembly_stats.txt	"Coturnixjaponica2.1
"	"GCF_001577835.2
"	"7111
"	"519
"	"2531
"	"2975000
"	"9642
"	"511217
"	"10393733
"	"41.5
"
46	GCF_001625215.2_DH1_v3.0_assembly_stats.txt	"DH1v3.0
"	"GCF_001625215.2
"	"554
"	"0
"	"11
"	"51152908
"	"565
"	"6076493
"	"55400
"	"35
"
47	GCF_001633185.2_ValleyOak3.2_assembly_stats.txt	"ValleyOak3.2
"	"GCF_001633185.2
"	"1673
"	"0
"	"2002
"	"66423012
"	"3675
"	"965935
"	"1923068
"	"35.5
"
48	GCF_001640805.2_TLL_Latcal_v3_assembly_stats.txt	"TLL_Latcal_v3
"	"GCF_001640805.2
"	"674
"	"0
"	"2997
"	"25538952
"	"3671
"	"1379868
"	"7539228
"	"41
"
49	GCF_001649575.2_ASM164957v2_assembly_stats.txt	"ASM164957v2
"	"GCF_001649575.2
"	"26167
"	"0
"	"300
"	"28170849
"	"26467
"	"57625
"	"38814168
"	"40
"
50	GCF_001659605.2_M.esculenta_v8_assembly_stats.txt	"M.esculenta_v8
"	"GCF_001659605.2
"	"654
"	"18
"	"104
"	"29151420
"	"758
"	"3258867
"	"2472345
"	"37.5
"
51	GCF_001660625.3_Coco_2.0_assembly_stats.txt	"Coco_2.0
"	"GCF_001660625.3
"	"100
"	"0
"	"137
"	"29208522
"	"237
"	"20961409
"	"5510128
"	"40
"
52	GCF_001704415.2_ARS1.2_assembly_stats.txt	"ARS1.2
"	"GCF_001704415.2
"	"492
"	"0
"	"29886
"	"87277232
"	"30378
"	"26244591
"	"38187
"	"43
"
53	GCF_001858045.2_O_niloticus_UMD_NMBU_assembly_stats.txt	"O_niloticus_UMD_NMBU
"	"GCF_001858045.2
"	"550
"	"0
"	"2460
"	"38839487
"	"3010
"	"2923640
"	"55000
"	"40.5
"
54	GCF_001865875.1_LupAngTanjil_v1.0_assembly_stats.txt	"LupAngTanjil_v1.0
"	"GCF_001865875.1
"	"40729
"	"805
"	"14378
"	"702610
"	"55107
"	"48365
"	"4153400
"	"33.5
"
55	GCF_001876935.1_Aspof.V1_assembly_stats.txt	"Aspof.V1
"	"GCF_001876935.1
"	"44390
"	"0
"	"11792
"	"131339754
"	"56182
"	"46553
"	"35521464
"	"39
"
56	GCF_001879085.1_NIATTr2_assembly_stats.txt	"NIATTr2
"	"GCF_001879085.1
"	"66046
"	"0
"	"37194
"	"524499
"	"103240
"	"64201
"	"275105010
"	"40
"
57	GCF_002007445.2_ASM200744v3_assembly_stats.txt	"ASM200744v3
"	"GCF_002007445.2
"	"49306
"	"0
"	"73514
"	"129245720
"	"122820
"	"127687
"	"46690237
"	"41.5
"
58	GCF_002021735.2_Okis_V2_assembly_stats.txt	"Okis_V2
"	"GCF_002021735.2
"	"4684
"	"0
"	"4087
"	"68265700
"	"8771
"	"1159298
"	"468400
"	"43.5
"
59	GCF_002078875.1_NumMel1.0_assembly_stats.txt	"NumMel1.0
"	"GCF_002078875.1
"	"13275
"	"273
"	"2739
"	"7868035
"	"16014
"	"234926
"	"20119848
"	"41.5
"
60	GCF_002114115.1_ASM211411v1_assembly_stats.txt	"ASM211411v1
"	"GCF_002114115.1
"	"6690
"	"0
"	"807
"	"37631755
"	"7497
"	"588895
"	"77686034
"	"38
"
61	GCF_002127325.2_HanXRQr2.0-SUNRISE_assembly_stats.txt	"HanXRQr2.0-SUNRISE
"	"GCF_002127325.2
"	"2380
"	"0
"	"334
"	"176490873
"	"2714
"	"2005037
"	"61903037
"	"38.5
"
62	GCF_002162155.2_WEW_v2.1_assembly_stats.txt	"WEW_v2.1
"	"GCF_002162155.2
"	"344589
"	"0
"	"148296
"	"747227478
"	"492885
"	"57368
"	"353604870
"	"46
"
63	GCF_002201575.2_ASM220157v2_assembly_stats.txt	"ASM220157v2
"	"GCF_002201575.2
"	"25787
"	"0
"	"8094
"	"150810825
"	"33881
"	"181061
"	"42905630
"	"41.5
"
64	GCF_002204515.2_AaegL5.0_assembly_stats.txt	"AaegL5.0
"	"GCF_002204515.2
"	"229
"	"0
"	"2310
"	"409777670
"	"2539
"	"11758062
"	"22935
"	"38
"
65	GCF_002211085.1_PHallii_v3.1_assembly_stats.txt	"PHallii_v3.1
"	"GCF_002211085.1
"	"0
"	"736
"	"1027
"	"1111465
"	"1027
"	"1111465
"	"7360000
"	"47
"
66	GCF_002234675.1_ASM223467v1_assembly_stats.txt	"ASM223467v1
"	"GCF_002234675.1
"	"491
"	"0
"	"25
"	"31218526
"	"516
"	"2530934
"	"491000
"	"41
"
67	GCF_002237135.1_ASM223713v2_assembly_stats.txt	"ASM223713v2
"	"GCF_002237135.1
"	"5877
"	"14315
"	"19962
"	"117344
"	"25839
"	"62489
"	"2370020
"	"30
"
68	GCF_002263795.3_ARS-UCD2.0_assembly_stats.txt	"ARS-UCD2.0
"	"GCF_002263795.3
"	"386
"	"0
"	"1958
"	"103308737
"	"2344
"	"26402946
"	"28162
"	"42
"
69	GCF_002575655.2_Aet_v5.0_assembly_stats.txt	"Aetv5.0
"	"GCF_002575655.2
"	"67782
"	"0
"	"109197
"	"576238907
"	"176979
"	"211214
"	"85860142
"	"46.5
"
70	GCF_002706865.2_ASM270686v3_assembly_stats.txt	"ASM270686v3
"	"GCF_002706865.2
"	"10017
"	"623
"	"2397
"	"929586
"	"12414
"	"68785
"	"10899213
"	"36.5
"
71	GCF_002742605.1_O_europaea_v1_assembly_stats.txt	"O_europaea_v1
"	"GCF_002742605.1
"	"42718
"	"0
"	"41226
"	"12567911
"	"83944
"	"48313
"	"109483939
"	"35.5
"
72	GCF_002775205.1_X_maculatus-5.0-male_assembly_stats.txt	"X_maculatus-5.0-male
"	"GCF_002775205.1
"	"156
"	"0
"	"102
"	"31535491
"	"258
"	"9181372
"	"3327905
"	"39
"
73	GCF_002776525.5_ASM277652v5_assembly_stats.txt	"ASM277652v5
"	"GCF_002776525.5
"	"56505
"	"0
"	"32287
"	"131283114
"	"88792
"	"100421
"	"87812169
"	"41
"
74	GCF_002806865.2_ASM280686v2_assembly_stats.txt	"ASM280686v2
"	"GCF_002806865.2
"	"6377
"	"0
"	"24194
"	"9833969
"	"30571
"	"109579
"	"14620218
"	"36.5
"
75	GCF_002837175.3_ASM283717v5_assembly_stats.txt	"ASM283717v5
"	"GCF_002837175.3
"	"121387
"	"0
"	"12169
"	"122182240
"	"133555
"	"42877
"	"104912766
"	"41.5
"
76	GCF_002863925.1_EquCab3.0_assembly_stats.txt	"EquCab3.0
"	"GCF_002863925.1
"	"6286
"	"0
"	"4701
"	"87230776
"	"10987
"	"1502753
"	"9435464
"	"41.5
"
77	GCF_002870075.4_Lsat_Salinas_v11_assembly_stats.txt	"Lsat_Salinas_v11
"	"GCF_002870075.4
"	"384
"	"0
"	"93
"	"324658466
"	"477
"	"12524908
"	"1337877
"	"38
"
78	GCF_002878395.1_UCD10Xv1.1_assembly_stats.txt	"UCD10Xv1.1
"	"GCF_002878395.1
"	"52577
"	"0
"	"81202
"	"227195441
"	"133779
"	"122840
"	"87785288
"	"35
"
79	GCF_002910315.2_ASM291031v2_assembly_stats.txt	"ASM291031v2
"	"GCF_002910315.2
"	"80312
"	"1447
"	"16702
"	"1018695
"	"97014
"	"55619
"	"146619173
"	"43
"
80	GCF_002922805.2_ASM292280v2_assembly_stats.txt	"ASM292280v2
"	"GCF_002922805.2
"	"47782
"	"0
"	"8493
"	"29987720
"	"56275
"	"30057
"	"40459932
"	"39
"
81	GCF_002994745.2_RchiOBHm-V2_assembly_stats.txt	"RchiOBHm-V2
"	"GCF_002994745.2
"	"33
"	"0
"	"53
"	"69643165
"	"86
"	"22201688
"	"3300
"	"39
"
82	GCF_003073215.2_Tu2.1_assembly_stats.txt	"Tu2.1
"	"GCF_003073215.2
"	"33809
"	"0
"	"10205
"	"661480603
"	"44014
"	"278604
"	"30285584
"	"46
"
83	GCF_003086295.2_arahy.Tifrunner.gnm1.KYV3_assembly_stats.txt	"arahy.Tifrunner.gnm1.KYV3
"	"GCF_003086295.2
"	"3655
"	"0
"	"385
"	"135150084
"	"4040
"	"1498096
"	"3895359
"	"36.5
"
84	GCF_003254395.2_Amel_HAv3.1_assembly_stats.txt	"Amel_HAv3.1
"	"GCF_003254395.2
"	"51
"	"0
"	"177
"	"13619445
"	"228
"	"5382476
"	"1313614
"	"32.5
"
85	GCF_003254725.2_ASM325472v2_assembly_stats.txt	"ASM325472v2
"	"GCF_003254725.2
"	"69
"	"0
"	"159
"	"64250934
"	"228
"	"40716615
"	"33679
"	"41
"
86	GCF_003255815.1_Tgel_1.0_assembly_stats.txt	"Tgel_1.0
"	"GCF_003255815.1
"	"19800
"	"0
"	"15308
"	"130230028
"	"35108
"	"310061
"	"47192329
"	"41
"
87	GCF_003331165.1_Xiphophorus_hellerii-4.1_assembly_stats.txt	"Xiphophorus_hellerii-4.1
"	"GCF_003331165.1
"	"659
"	"0
"	"87
"	"32404057
"	"746
"	"7084538
"	"2127799
"	"39
"
88	GCF_003339765.1_Mmul_10_assembly_stats.txt	"Mmul_10
"	"GCF_003339765.1
"	"203
"	"41
"	"2979
"	"82346004
"	"3182
"	"46608966
"	"34438797
"	"41
"
89	GCF_003368295.1_ASM336829v1_assembly_stats.txt	"ASM336829v1
"	"GCF_003368295.1
"	"2247
"	"0
"	"6216
"	"22763433
"	"8463
"	"821153
"	"224700
"	"37.5
"
90	GCF_003369695.1_UOA_Brahman_1_assembly_stats.txt	"UOA_Brahman_1
"	"GCF_003369695.1
"	"302
"	"0
"	"1250
"	"104466507
"	"1552
"	"26764281
"	"1636497
"	"42
"
91	GCF_003369915.1_D.miranda_PacBio2.1_assembly_stats.txt	"D.miranda_PacBio2.1
"	"GCF_003369915.1
"	"118
"	"0
"	"104
"	"35263383
"	"222
"	"11978448
"	"5727
"	"45
"
92	GCF_003473485.1_MtrunA17r5.0-ANR_assembly_stats.txt	"MtrunA17r5.0-ANR
"	"GCF_003473485.1
"	"22
"	"0
"	"42
"	"56236587
"	"64
"	"23305320
"	"574260
"	"33.5
"
93	GCF_003573695.1_ASM357369v1_assembly_stats.txt	"ASM357369v1
"	"GCF_003573695.1
"	"30963
"	"0
"	"34381
"	"204470928
"	"65344
"	"1773300
"	"5406270
"	"37.5
"
94	GCF_003576645.1_ASM357664v1_assembly_stats.txt	"ASM357664v1
"	"GCF_003576645.1
"	"15991
"	"0
"	"17
"	"29809665
"	"16008
"	"74678
"	"24261817
"	"35.5
"
95	GCF_003590095.1_tn1_assembly_stats.txt	"tn1
"	"GCF_003590095.1
"	"945
"	"0
"	"1031
"	"14205900
"	"1976
"	"621965
"	"945000
"	"35.5
"
96	GCF_003668045.3_CriGri-PICRH-1.0_assembly_stats.txt	"CriGri-PICRH-1.0
"	"GCF_003668045.3
"	"3367
"	"0
"	"647
"	"274391693
"	"4014
"	"2711962
"	"2424778
"	"41.5
"
97	GCF_003672135.1_Obir_v5.4_assembly_stats.txt	"Obir_v5.4
"	"GCF_003672135.1
"	"396
"	"0
"	"139
"	"16888278
"	"535
"	"3735272
"	"39600
"	"41.5
"
98	GCF_003676215.2_ASM367621v3_assembly_stats.txt	"ASM367621v3
"	"GCF_003676215.2
"	"469
"	"0
"	"220
"	"93298903
"	"689
"	"9046396
"	"46900
"	"27.5
"
99	GCF_003704035.1_HU_Pman_2.1.3_assembly_stats.txt	"HU_Pman_2.1.3
"	"GCF_003704035.1
"	"147442
"	"0
"	"8524
"	"115033041
"	"155966
"	"30111
"	"124546479
"	"42.5
"
100	GCF_003711565.1_ASM371156v2_assembly_stats.txt	"ASM371156v2
"	"GCF_003711565.1
"	"244
"	"0
"	"868
"	"15676631
"	"1112
"	"4357567
"	"24400
"	"45.5
"
101	GCF_003713205.1_Ceug_1.0_assembly_stats.txt	"Ceug_1.0
"	"GCF_003713205.1
"	"3482
"	"0
"	"3530
"	"47530510
"	"7012
"	"204058
"	"14570140
"	"37
"
102	GCF_003713225.1_Cara_1.0_assembly_stats.txt	"Cara_1.0
"	"GCF_003713225.1
"	"690
"	"0
"	"2833
"	"42465768
"	"3523
"	"3917557
"	"2272353
"	"37
"
103	GCF_003957555.1_bCalAnn1_v1.p_assembly_stats.txt	"bCalAnn1_v1.p
"	"GCF_003957555.1
"	"425
"	"0
"	"159
"	"74081004
"	"584
"	"14522327
"	"16096776
"	"41.5
"
104	GCF_003957565.2_bTaeGut1.4.pri_assembly_stats.txt	"bTaeGut1.4.pri
"	"GCF_003957565.2
"	"352
"	"0
"	"199
"	"70982421
"	"551
"	"8964551
"	"3634788
"	"42
"
105	GCF_004027225.2_bStrHab1.2.pri_assembly_stats.txt	"bStrHab1.2.pri
"	"GCF_004027225.2
"	"367
"	"0
"	"89
"	"83240647
"	"456
"	"9454087
"	"10544060
"	"42
"
106	GCF_004115215.2_mOrnAna1.pri.v4_assembly_stats.txt	"mOrnAna1.pri.v4
"	"GCF_004115215.2
"	"512
"	"0
"	"322
"	"83338043
"	"834
"	"15146802
"	"15158102
"	"46
"
107	GCF_004115265.2_mRhiFer1_v1.p_assembly_stats.txt	"mRhiFer1_v1.p
"	"GCF_004115265.2
"	"155
"	"0
"	"134
"	"88025743
"	"289
"	"31900497
"	"7546091
"	"40.5
"
108	GCF_004118075.2_ASM411807v2_assembly_stats.txt	"ASM411807v2
"	"GCF_004118075.2
"	"68
"	"0
"	"676
"	"41684185
"	"744
"	"10911736
"	"2720798
"	"33
"
109	GCF_004126475.2_mPhyDis1.pri.v3_assembly_stats.txt	"mPhyDis1.pri.v3
"	"GCF_004126475.2
"	"876
"	"0
"	"77
"	"171742863
"	"953
"	"6892556
"	"15088836
"	"42.5
"
110	GCF_004193775.1_ASM419377v2_assembly_stats.txt	"ASM419377v2
"	"GCF_004193775.1
"	"752
"	"0
"	"1120
"	"50696784
"	"1872
"	"3325257
"	"24573723
"	"35
"
111	GCF_004353265.1_EGFV_Vit.rip_1.0_assembly_stats.txt	"EGFV_Vit.rip_1.0
"	"GCF_004353265.1
"	"986
"	"0
"	"175
"	"23918791
"	"1161
"	"738826
"	"6066668
"	"34.5
"
112	GCF_004354385.1_UK_Dinn_1.0_assembly_stats.txt	"UK_Dinn_1.0
"	"GCF_004354385.1
"	"198
"	"0
"	"363
"	"29570363
"	"561
"	"3071820
"	"14120
"	"36.5
"
113	GCF_004354835.1_PFLA_1.0_assembly_stats.txt	"PFLA_1.0
"	"GCF_004354835.1
"	"829
"	"0
"	"268
"	"37412490
"	"1097
"	"4268950
"	"414500
"	"41
"
114	GCF_004379255.2_SspV2_assembly_stats.txt	"SspV2
"	"GCF_004379255.2
"	"448
"	"0
"	"1162
"	"35138742
"	"1610
"	"4037669
"	"34435
"	"39
"
115	GCF_004382145.1_ASM438214v1_assembly_stats.txt	"ASM438214v1
"	"GCF_004382145.1
"	"28
"	"0
"	"353
"	"24228064
"	"381
"	"22120385
"	"2800
"	"42
"
116	GCF_004382195.2_ASM438219v2_assembly_stats.txt	"ASM438219v2
"	"GCF_004382195.2
"	"38
"	"0
"	"378
"	"24956976
"	"416
"	"19907079
"	"3800
"	"42.5
"
117	GCF_004664715.2_UCI_PerLeu_2.1_assembly_stats.txt	"UCI_PerLeu_2.1
"	"GCF_004664715.2
"	"2291
"	"0
"	"1857
"	"114273790
"	"4148
"	"3487364
"	"1128377
"	"42
"
118	GCF_004785595.1_Jm3101_v1.0_assembly_stats.txt	"Jm3101_v1.0
"	"GCF_004785595.1
"	"54
"	"0
"	"154
"	"35629462
"	"208
"	"11553270
"	"4310200
"	"36.5
"
119	GCF_005281545.1_ASM528154v1_assembly_stats.txt	"ASM528154v1
"	"GCF_005281545.1
"	"18025
"	"0
"	"4201
"	"46227939
"	"22226
"	"159800
"	"39248622
"	"41.5
"
120	GCF_005286985.1_Setaria_viridis_v2.0_assembly_stats.txt	"Setaria_viridis_v2.0
"	"GCF_005286985.1
"	"0
"	"61
"	"76
"	"11217222
"	"76
"	"11217222
"	"610000
"	"46
"
121	GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2_assembly_stats.txt	"pea_aphid_22Mar2018_4r6ur_v2
"	"GCF_005508785.2
"	"45489
"	"0
"	"21228
"	"132544852
"	"66717
"	"25986
"	"35567942
"	"29.5
"
122	GCF_005870125.1_lonStrDom2_assembly_stats.txt	"lonStrDom2
"	"GCF_005870125.1
"	"31356
"	"0
"	"2015
"	"71975342
"	"33371
"	"100423
"	"31251516
"	"41.5
"
123	GCF_006229205.1_meerkat_22Aug2017_6uvM2_HiC_assembly_stats.txt	"meerkat_22Aug2017_6uvM2_HiC
"	"GCF_006229205.1
"	"65245
"	"0
"	"63791
"	"141453419
"	"129036
"	"75409
"	"6638100
"	"41.5
"
124	GCF_006386435.1_YSFRI_EMoa_1.0_assembly_stats.txt	"YSFRI_EMoa_1.0
"	"GCF_006386435.1
"	"32958
"	"0
"	"4563
"	"43431032
"	"37521
"	"76174
"	"30778743
"	"41.5
"
125	GCF_006542625.1_Asia_NLE_v1_assembly_stats.txt	"Asia_NLE_v1
"	"GCF_006542625.1
"	"384
"	"125
"	"2377
"	"35886894
"	"2761
"	"12782853
"	"15092155
"	"41
"
126	GCF_007210705.1_Tcal_SD_v2.1_assembly_stats.txt	"Tcal_SD_v2.1
"	"GCF_007210705.1
"	"10882
"	"0
"	"459
"	"15806032
"	"11341
"	"44438
"	"3983973
"	"42
"
127	GCF_007364275.1_fArcCen1_assembly_stats.txt	"fArcCen1
"	"GCF_007364275.1
"	"738
"	"0
"	"188
"	"35590001
"	"926
"	"2146538
"	"16903459
"	"41
"
128	GCF_007474595.2_mLynCan4.pri.v2_assembly_stats.txt	"mLynCan4.pri.v2
"	"GCF_007474595.2
"	"840
"	"0
"	"54
"	"147275701
"	"894
"	"7503561
"	"2779342
"	"41.5
"
